date,sector_index,close
2021-12-01,ICON,3932.12
2022-01-01,ICON,4020.7599999999998
2022-02-01,ICON,3919.84
2022-03-01,ICON,4144.68
2022-04-01,ICON,3556.75
2022-05-01,ICON,3449.17
2022-06-01,ICON,2956.21
2022-07-01,ICON,3227.57
2022-08-01,ICON,3442.44
2022-09-01,ICON,3401.94
2022-10-01,ICON,3615.56
2022-11-01,ICON,3098.79
2022-12-01,ICON,2934.98
2023-01-01,ICON,3021.9900000000002
2023-02-01,ICON,2726.56
2023-03-01,ICON,2564.34
2023-04-01,ICON,2587.1
2023-05-01,ICON,2904.19
2023-06-01,ICON,3180.8900000000003
2023-07-01,ICON,3251.57
2023-08-01,ICON,2912.8900000000003
2023-09-01,ICON,2795.65
2023-10-01,ICON,2546.8900000000003
2023-11-01,ICON,2962.7799999999997
2023-12-01,ICON,3139.98
2024-01-01,ICON,2878.2799999999997
2024-02-01,ICON,2880.74
2024-03-01,ICON,2916.92
2024-04-01,ICON,2742.59
2024-05-01,ICON,2680.71
2024-06-01,ICON,2699.3
2024-07-01,ICON,2753.4700000000003
2024-08-01,ICON,2925.4300000000003
2024-09-01,ICON,2787.61
2024-10-01,ICON,2787.06
2024-11-01,ICON,2622.4700000000003
2024-12-01,ICON,2431.66
2019-12-01,IEEX,76627.20999999999
2020-01-01,IEEX,78308.77
2020-02-01,IEEX,75555.55
2020-03-01,IEEX,57650.78999999999
2020-04-01,IEEX,61335.14
2020-05-01,IEEX,66370.28
2020-06-01,IEEX,70159.54
2020-07-01,IEEX,76523.66
2020-08-01,IEEX,71966.61
2020-09-01,IEEX,68569.31
2020-10-01,IEEX,69951.35
2020-11-01,IEEX,77283.13
2020-12-01,IEEX,82845.93999999999
2021-01-01,IEEX,78922.76
2021-02-01,IEEX,74396.16
2021-03-01,IEEX,80913.07
2021-04-01,IEEX,80122.1
2021-05-01,IEEX,83618.98999999999
2021-06-01,IEEX,80452.18000000001
2021-07-01,IEEX,78147.84
2021-08-01,IEEX,79946.19
2021-09-01,IEEX,78295.95999999999
2021-10-01,IEEX,74371.37000000001
2021-11-01,IEEX,75885.32
2021-12-01,IEEX,76305.03
2022-01-01,IEEX,78324.28
2022-02-01,IEEX,78061.42
2022-03-01,IEEX,85040.32
2022-04-01,IEEX,83185.40999999999
2022-05-01,IEEX,82865.39
2022-06-01,IEEX,78786.86
2022-07-01,IEEX,81253.39
2022-08-01,IEEX,82251.05
2022-09-01,IEEX,78488.14
2022-10-01,IEEX,83670.05
2022-11-01,IEEX,80766.48
2022-12-01,IEEX,78679.4
2023-01-01,IEEX,78411.70999999999
2023-02-01,IEEX,73453.93
2023-03-01,IEEX,74827.05
2023-04-01,IEEX,79882.48
2023-05-01,IEEX,83118.81
2023-06-01,IEEX,91089.66
2023-07-01,IEEX,90249.67000000001
2023-08-01,IEEX,85111.33
2023-09-01,IEEX,85443.1
2023-10-01,IEEX,80531.63
2023-11-01,IEEX,88965.89
2023-12-01,IEEX,94956.92
2024-01-01,IEEX,90840.84
2024-02-01,IEEX,91201.23999999999
2024-03-01,IEEX,88654.31
2024-04-01,IEEX,85294
2024-05-01,IEEX,87311.19
2024-06-01,IEEX,88289.36
2024-07-01,IEEX,89184.95
2024-08-01,IEEX,92892.1
2024-09-01,IEEX,89817.39
2024-10-01,IEEX,86471.45999999999
2024-11-01,IEEX,82074.5
2024-12-01,IEEX,77455.43999999999
2019-12-01,IFNC,13220.730000000001
2020-01-01,IFNC,12722.869999999999
2020-02-01,IFNC,12048.720000000001
2020-03-01,IFNC,8116.88
2020-04-01,IFNC,8410.76
2020-05-01,IFNC,8779.31
2020-06-01,IFNC,9926.25
2020-07-01,IFNC,10850.730000000001
2020-08-01,IFNC,9993.369999999999
2020-09-01,IFNC,9344.67
2020-10-01,IFNC,9341.44
2020-11-01,IFNC,10923.15
2020-12-01,IFNC,12276.5
2021-01-01,IFNC,11477.96
2021-02-01,IFNC,10690.92
2021-03-01,IFNC,11371.359999999999
2021-04-01,IFNC,11461.3
2021-05-01,IFNC,12248.19
2021-06-01,IFNC,12193.03
2021-07-01,IFNC,11713.83
2021-08-01,IFNC,11445.27
2021-09-01,IFNC,10364.93
2021-10-01,IFNC,9779.05
2021-11-01,IFNC,9573.130000000001
2021-12-01,IFNC,9205.710000000001
2022-01-01,IFNC,10781.53
2022-02-01,IFNC,10639.97
2022-03-01,IFNC,11441.15
2022-04-01,IFNC,10072.710000000001
2022-05-01,IFNC,10702.03
2022-06-01,IFNC,9328.54
2022-07-01,IFNC,9664.8
2022-08-01,IFNC,10630.55
2022-09-01,IFNC,10959.09
